source,hypothesis,specification,parameter_setting,term,estimate,estimate_percentage_points,std_error,ci_low,ci_high,ci_low_percentage_points,ci_high_percentage_points,z_value,p_value_two_sided,is_behavior_term,reference_category,sample_variant,p_value_holm,significant_raw_0_05,significant_holm_0_05,primary_effect_pp,primary_ci_low_pp,primary_ci_high_pp,primary_p_holm,effect_difference_pp,same_sign_as_primary
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_2,0.014668205987986222,1.4668205987986223,0.01869059756624578,-0.02196469209138749,0.05130110406735994,-2.196469209138749,5.1301104067359935,0.7847906379663441,0.4325763300753849,True,session depth 1,alias_confirmed_ge10m,1.0,False,False,-0.5905472625055115,-1.8873216084442261,0.7062270834332031,1.0,2.057367861304134,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_3,0.019916997219480762,1.9916997219480763,0.019317163484790546,-0.01794394749418095,0.05777794193314248,-1.7943947494180952,5.777794193314248,1.031051853713538,0.30251650395976487,True,session depth 1,alias_confirmed_ge10m,1.0,False,False,0.33589163979517395,-1.0441508499151213,1.715934129505469,1.0,1.6558080821529024,True
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_4,0.01697513894290415,1.697513894290415,0.021103212180218836,-0.024386396888431756,0.05833667477424006,-2.4386396888431756,5.833667477424006,0.8043864980335009,0.42117379647969794,True,session depth 1,alias_confirmed_ge10m,1.0,False,False,-0.4040040353467529,-1.9272726108758103,1.1192645401823045,1.0,2.101517929637168,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_5,0.015727919901296763,1.5727919901296763,0.02662392814564276,-0.036454020391145314,0.06790986019373883,-3.6454020391145314,6.790986019373883,0.5907437781254219,0.5546921104573583,True,session depth 1,alias_confirmed_ge10m,1.0,False,False,0.031247502774390663,-1.7678719951547552,1.8303670007035366,1.0,1.5415444873552857,True
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_6,0.02230293389214344,2.230293389214344,0.02923777832867786,-0.03500205862003086,0.07960792640431774,-3.500205862003086,7.960792640431774,0.7628121959686526,0.4455754066073049,True,session depth 1,alias_confirmed_ge10m,1.0,False,False,0.3844374990642839,-1.5713877209368363,2.340262719065404,1.0,1.8458558901500601,True
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_7,0.0197157825128634,1.9715782512863398,0.037849278121967485,-0.05446743944703269,0.09389900447275948,-5.446743944703269,9.389900447275949,0.5209024713583766,0.6024347137257364,True,session depth 1,alias_confirmed_ge10m,1.0,False,False,0.033586003939930976,-2.199505881738755,2.266677889618617,1.0,1.9379922473464088,True
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_8+,0.023780944375005136,2.3780944375005135,0.03125007158127492,-0.03746807043859236,0.08502995918860264,-3.7468070438592362,8.502995918860263,0.7609884768793523,0.4466639499282224,True,session depth 1,alias_confirmed_ge10m,1.0,False,False,0.4484049343078506,-1.2081454010151969,2.1049552696308984,1.0,1.9296895031926629,True
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_5-10m,0.01795165028143492,1.795165028143492,0.01752253332162804,-0.016391883946859042,0.05229518450972888,-1.6391883946859043,5.229518450972888,1.024489436083835,0.30560415794761137,True,<=5m,alias_confirmed_ge10m,1.0,False,False,-0.27442736139572865,-1.6285811679288749,1.0797264451374173,1.0,2.0695923895392205,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_10-20m,-0.01975488425279058,-1.975488425279058,0.028035980354739008,-0.07470439601935153,0.035194627513770366,-7.470439601935153,3.5194627513770365,-0.7046261269565824,0.4810429347973179,True,<=5m,alias_confirmed_ge10m,1.0,False,False,-1.5908239374173194,-3.2340671775207075,0.05241930268606865,0.4315666020773005,-0.3846644878617387,True
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_20-30m,0.01694574500482467,1.694574500482467,0.03840881579248504,-0.05833415063727927,0.0922256406469286,-5.833415063727927,9.222564064692861,0.4411941543935917,0.6590724447837213,True,<=5m,alias_confirmed_ge10m,1.0,False,False,-0.9903578540774737,-3.7355022869616743,1.754786578806727,1.0,2.684932354559941,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_30-60m,-0.022126004347038986,-2.2126004347038988,0.03767252304768758,-0.09596279272726176,0.051710784033183785,-9.596279272726175,5.171078403318378,-0.5873247278668033,0.556985636669844,True,<=5m,alias_confirmed_ge10m,1.0,False,False,-2.3789140789033287,-4.798182117147269,0.040353959340612075,0.4315666020773005,0.16631364419942996,True
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_1-2h,-0.0024310056676700807,-0.24310056676700806,0.03680113163337981,-0.0745598982594122,0.06969788692407203,-7.45598982594122,6.969788692407203,-0.06605790528096371,0.9473317243324672,True,<=5m,alias_confirmed_ge10m,1.0,False,False,0.2355946427516165,-2.287619589172741,2.758808874675974,1.0,-0.47869520951862454,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_2-6h,-0.051569842392135024,-5.156984239213502,0.03041616983733285,-0.11118443982096092,0.008044755036690873,-11.118443982096093,0.8044755036690874,-1.6954745672427871,0.0899854308982448,True,<=5m,alias_confirmed_ge10m,0.7198834471859584,False,False,0.5475648312335771,-1.7546605719501736,2.849790234417328,1.0,-5.704549070447079,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_6-24h,0.030444250158651934,3.0444250158651935,0.021971299682011877,-0.012618705911627687,0.07350720622893156,-1.2618705911627688,7.350720622893156,1.3856371994041365,0.16585771331219124,True,<=5m,alias_confirmed_ge10m,1.0,False,False,0.9423418051448849,-0.9789797111896328,2.8636633214794025,1.0,2.1020832107203087,True
